pseudo;lignes_excel;statut;source_type;source_originale;fichier_nouveau_dossier;photo_url_instagram;erreur
zahr_alfirdaws;2;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\zahr_alfirdaws.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\zahr_alfirdaws.jpg;;
hadii_kazi;3;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\hadii_kazi.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\hadii_kazi.jpg;;
rajj_reza;4;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\rajj_reza.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\rajj_reza.jpg;;
tanzimhoss;5;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\tanzimhoss.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\tanzimhoss.jpg;;
l.k_n10;6;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\l.k_n10.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\l.k_n10.jpg;;
sadik___95;7;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\sadik___95.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\sadik___95.jpg;;
reza_obaidul;8;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\reza_obaidul.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\reza_obaidul.jpg;;
aksine_s;9;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\aksine_s.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\aksine_s.jpg;;
sumon_abdus;10;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\sumon_abdus.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\sumon_abdus.jpg;;
saima_anissa;11;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\saima_anissa.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\saima_anissa.jpg;;
dini_psd;12;Copiée depuis l'historique;img;C:\Users\Mollen\Desktop\graph de reseaux\img\dini_psd.jpg;C:\Users\Mollen\Desktop\graph de reseaux\Log public privé\photo_de_profil_liens_generes_20260829_180549\dini_psd.jpg;;
